title;price_raw;size_raw;rooms_raw;floor_raw;free_raw;post;cold_hot_rent;additional_details
Wohnung zum Kauf - Neubau · provisionsfrei;755.000 €;80 m²;3 Zimmer;EG;;14059;9.434 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;675.000 €;84,7 m²;3 Zimmer;;;12167;7.973 €/m²;
Wohnung zum Kauf - Neubau;795.000 €;71,8 m²;2 Zimmer;2. Geschoss;;10119;11.077 €/m²;
Wohnung zum Kauf - Neubau;1.190.000 €;107,5 m²;3 Zimmer;1. Geschoss;;10119;11.068 €/m²;
Terrassenwohnung zum Kauf - Neubau · provisionsfrei;730.000 €;95 m²;4 Zimmer;EG;;12209;7.683 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;745.000 €;94,8 m²;4 Zimmer;3. Geschoss;;12167;7.859 €/m²;
Penthouse zum Kauf - Neubau;899.000 €;113 m²;3 Zimmer;3. Geschoss;frei ab sofort;14469;7.954 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;740.000 €;94,8 m²;4 Zimmer;2. Geschoss;;12167;7.807 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;735.000 €;94,8 m²;4 Zimmer;1. Geschoss;;12167;7.754 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;720.000 €;90,6 m²;4 Zimmer;;;12167;7.951 €/m²;
Studio zum Kauf - Neubau · provisionsfrei;288.338 €;31,5 m²;1 Zimmer;4. Geschoss;;10365;9.156 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;438.101 €;49,7 m²;2 Zimmer;2. Geschoss;;10365;8.824 €/m²;
Studio zum Kauf - Neubau · provisionsfrei;243.079 €;25,9 m²;1 Zimmer;EG;;10365;9.385 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;427.122 €;49,7 m²;2 Zimmer;1. Geschoss;;10365;8.603 €/m²;
Studio zum Kauf - Neubau · provisionsfrei;289.998 €;34,9 m²;1 Zimmer;1. Geschoss;;10365;8.302 €/m²;
